藏A,拉萨市,Z,藏
藏B,昌都,Z,藏
藏C,山南,Z,藏
藏D,日喀则,Z,藏
藏E,那曲,Z,藏
藏F,阿里,Z,藏
藏G,林芝,Z,藏
川A,成都市,C,川
川C,自贡市,C,川
川D,攀枝花市,C,川
川E,泸州市,C,川
川F,德阳市,C,川
川G,绵阳市,C,川
川H,广元市,C,川
川J,遂宁市,C,川
川K,内江市,C,川
川L,乐山市,C,川
川M,万县行署,C,川
川N,涪陵行署,C,川
川P,黔江行署,C,川
川Q,宜宾行署,C,川
川R,南充行署,C,川
川S,达县行署,C,川
川T,雅安行署,C,川
川U,阿坝藏族,C,川
川V,甘孜藏族,C,川
川W,凉山彝族,C,川
鄂A,武汉市,E,鄂
鄂B,黄石市,E,鄂
鄂C,十堰市,E,鄂
鄂D,沙市市,E,鄂
鄂E,宜昌市,E,鄂
鄂F,襄樊市,E,鄂
鄂G,鄂州市,E,鄂
鄂H,荆门市,E,鄂
鄂J,黄岗行署,E,鄂
鄂K,孝感行署,E,鄂
鄂L,咸宁行署,E,鄂
鄂M,荆州行署,E,鄂
鄂N,郧阳行署,E,鄂
鄂P,宜昌行署,E,鄂
鄂Q,鄂西自治州,E,鄂
甘A,兰州市,G,甘
甘B,嘉峪关市,G,甘
甘C,金昌市,G,甘
甘D,白银市,G,甘
甘E,天水市,G,甘
甘F,洒泉行署,G,甘
甘G,张掖行署,G,甘
甘H,武威行署,G,甘
甘J,定西行署,G,甘
甘K,陇南行署,G,甘
甘L,平凉行署,G,甘
甘M,庆阳行署,G,甘
甘N,临夏回族,G,甘
甘P,甘南藏族,G,甘
赣A,南昌市,G,赣
赣B,赣州行署,G,赣
赣C,宜春行署,G,赣
赣D,吉安行署,G,赣
赣E,上饶行署,G,赣
赣F,抚州行署,G,赣
赣G,九江市,G,赣
赣H,景德镇市,G,赣
赣J,萍乡市,G,赣
赣K,新余市,G,赣
赣L,鹰潭市,G,赣
贵A,贵阳市,G,贵
贵B,六盘水市,G,贵
贵C,遵义行署,G,贵
贵D,铜仁行署,G,贵
贵E,黔西南州,G,贵
贵F,毕节行署,G,贵
贵G,安顺行署,G,贵
贵H,黔东南州,G,贵
贵J,黔南州,G,贵
桂A,南宁市,G,桂
桂B,柳州市,G,桂
桂C,桂林市,G,桂
桂D,梧州市,G,桂
桂E,北海市,G,桂
桂F,南宁行署,G,桂
桂G,柳州行署,G,桂
桂H,桂林行署,G,桂
桂J,梧州行署,G,桂
桂K,玉林行署,G,桂
桂L,河池行署,G,桂
桂M,百色行署,G,桂
桂N,钦州行署,G,桂
桂P,防城港区,G,桂
黑A,哈尔滨市,H,黑
黑B,齐齐哈尔市,H,黑
黑C,牡丹江市,H,黑
黑D,佳木斯市,H,黑
黑E,大庆市,H,黑
黑F,伊春市,H,黑
黑G,鸡西市,H,黑
黑H,鹤岗市,H,黑
黑J,双鸭山市,H,黑
黑K,七台河市,H,黑
黑L,松花江行署,H,黑
黑M,绥化行署,H,黑
黑N,黑河地区行,H,黑
黑P,大兴安岭行,H,黑
沪A,上海市,H,沪
沪B,上海市,H,沪
沪C,上海市,H,沪
沪D,上海市,H,沪
沪R,崇明,H,沪
沪R,长兴,H,沪
沪R,横沙,H,沪
吉A,长春市,J,吉
吉B,吉林市,J,吉
吉C,四平市,J,吉
吉D,辽源市,J,吉
吉E,通化市,J,吉
吉F,浑江市,J,吉
吉G,白城行署,J,吉
吉H,延边朝鲜族,J,吉
冀A,石家庄市,J,冀
冀B,唐山市,J,冀
冀C,秦皇岛市,J,冀
冀D,邯郸市,J,冀
冀E,刑台市,J,冀
冀F,保定市,J,冀
冀G,张家口市,J,冀
冀H,承德市,J,冀
冀J,沧州市,J,冀
冀K,邯郸行署,J,冀
冀L,刑台行署,J,冀
冀N,保定行署,J,冀
冀P,张家口行署,J,冀
冀Q,承德行署,J,冀
冀R,廊坊市,J,冀
冀S,沧州行署,J,冀
冀T,衡水行署,J,冀
津A,天津市,J,津
津B,天津市,J,津
津C,天津市,J,津
晋A,太原市,J,晋
晋B,大同市,J,晋
晋C,阳泉市,J,晋
晋D,长治市,J,晋
晋E,晋城市,J,晋
晋F,朔州市,J,晋
晋G,雁北行署,J,晋
晋H,忻州行署,J,晋
晋J,吕梁行署,J,晋
晋K,晋中行署,J,晋
晋L,临汾行署,J,晋
晋M,运城行署,J,晋
京A,北京市,J,京
京B,北京市出租车,J,京
京C,北京市,J,京
京E,北京市,J,京
京F,北京市,J,京
辽A,沈阳市,L,辽
辽B,大连市,L,辽
辽C,鞍山市,L,辽
辽D,抚顺市,L,辽
辽E,本溪市,L,辽
辽F,丹东市,L,辽
辽G,锦州市,L,辽
辽H,营口市,L,辽
辽J,阜新市,L,辽
辽K,辽阳市,L,辽
辽L,盘锦市,L,辽
辽M,铁岭市,L,辽
辽N,朝阳市,L,辽
辽P,葫芦岛市,L,辽
鲁A,济南市,L,鲁
鲁B,青岛市,L,鲁
鲁C,淄博市,L,鲁
鲁D,枣庄市,L,鲁
鲁E,东营市,L,鲁
鲁F,烟台市,L,鲁
鲁G,潍坊市,L,鲁
鲁H,济宁市,L,鲁
鲁J,泰安市,L,鲁
鲁K,威海市,L,鲁
鲁L,日照市,L,鲁
鲁M,惠州行署,L,鲁
鲁N,德州行署,L,鲁
鲁P,聊城行署,L,鲁
鲁Q,临沂行署,L,鲁
鲁R,荷泽行署,L,鲁
鲁S,莱芜市,L,鲁
蒙A,呼和浩特市,M,蒙
蒙B,包头市,M,蒙
蒙C,乌海市,M,蒙
蒙D,赤峰市,M,蒙
蒙E,呼和浩特市,M,蒙
蒙F,兴安盟,M,蒙
蒙G,锡林郭勒盟,M,蒙
蒙H,乌兰察布盟,M,蒙
蒙J,伊克昭盟,M,蒙
蒙K,巴彦淖尔盟,M,蒙
蒙L,阿拉善盟,M,蒙
闽A,福州市,M,闽
闽B,莆田市,M,闽
闽C,泉州市,M,闽
闽D,厦门市,M,闽
闽E,漳州市,M,闽
闽F,龙岩行署,M,闽
闽G,三明市,M,闽
闽H,南平行署,M,闽
闽J,宁德行署,M,闽
宁A,银川市,L,宁
宁B,石嘴山市,L,宁
宁C,银南行署,L,宁
宁D,固原行署,L,宁
青A,西宁市,Q,青
青B,海东行署,Q,青
青C,海北州,Q,青
青D,黄南行署,Q,青
青E,海南州,Q,青
青F,果洛州,Q,青
青G,玉树州,Q,青
青H,海西州,Q,青
琼A,海口市,Q,琼
琼B,三亚市,Q,琼
琼C,琼北市,Q,琼
陕A,西安市,S,陕
陕B,铜川市,S,陕
陕C,宝鸡市,S,陕
陕D,威阳市,S,陕
陕E,渭南行署,S,陕
陕F,汉中行署,S,陕
陕G,安康行署,S,陕
陕H,延安行署,S,陕
陕J,商洛行署,S,陕
陕K,榆林行署,S,陕
苏A,南京市,S,苏
苏B,无锡市,S,苏
苏C,徐州市,S,苏
苏D,常州市,S,苏
苏E,苏州市,S,苏
苏F,南通市,S,苏
苏G,连云港市,S,苏
苏H,淮阴市,S,苏
苏J,盐城市,S,苏
苏K,扬州市,S,苏
苏L,镇江市,S,苏
皖A,合肥市,W,皖
皖B,芜湖市,W,皖
皖C,蚌埠市,W,皖
皖D,淮南市,W,皖
皖E,马鞍山市,W,皖
皖F,淮北市,W,皖
皖G,铜陵市,W,皖
皖H,安庆市,W,皖
皖J,黄山市,W,皖
皖K,阜阳行署,W,皖
皖L,宿县行署,W,皖
皖M,滁县行署,W,皖
皖N,六安行署,W,皖
皖P,宜城行署,W,皖
皖Q,巢湖行署,W,皖
皖R,池州行署,W,皖
湘A,长沙市,X,湘
湘B,株州市,X,湘
湘C,湘潭市,X,湘
湘D,衡阳市,X,湘
湘E,邵阳市,X,湘
湘F,岳阳市,X,湘
湘G,大庸市,X,湘
湘H,益阳行署,X,湘
湘J,常德市,X,湘
湘K,娄底行署,X,湘
湘L,郴州行署,X,湘
湘M,零陵行署,X,湘
湘N,杯化行署,X,湘
湘P,湘西自治州,X,湘
新A,乌鲁木齐市,X,新
新B,昌吉回族,X,新
新C,石河子市,X,新
新D,奎屯市,X,新
新E,博尔塔拉,X,新
新F,伊犁哈萨,X,新
新G,塔城行署,X,新
新H,阿勒泰行署,X,新
新J,克拉玛依市,X,新
新K,吐鲁番行署,X,新
新L,哈密行署,X,新
新M,巴音郭愣,X,新
新N,阿克苏行署,X,新
新P,克孜勒苏柯,X,新
新Q,喀什行署,X,新
新R,和田行署,X,新
渝A,重庆市区（江南）,Y,渝
渝B,重庆市区（江北）,Y,渝
渝C,永川,Y,渝
渝C,江津,Y,渝
渝C,合川,Y,渝
渝C,潼南,Y,渝
渝C,铜梁,Y,渝
渝C,壁山,Y,渝
渝C,大足,Y,渝
渝C,綦江,Y,渝
渝C,荣昌,Y,渝
渝F,万州,Y,渝
渝F,梁平,Y,渝
渝F,城口,Y,渝
渝F,巫山,Y,渝
渝F,巫溪,Y,渝
渝F,忠县,Y,渝
渝F,开县,Y,渝
渝F,奉节,Y,渝
渝F,云阳,Y,渝
渝G,涪陵,Y,渝
渝G,南川市,Y,渝
渝G,垫江,Y,渝
渝G,丰都,Y,渝
渝G,武隆,Y,渝
渝H,黔江,Y,渝
渝H,石柱,Y,渝
渝H,秀山,Y,渝
渝H,酉阳,Y,渝
渝H,彭水,Y,渝
豫A,郑州市,Y,豫
豫B,开封市,Y,豫
豫C,洛阳市,Y,豫
豫D,平顶山市,Y,豫
豫E,安阳市,Y,豫
豫F,鹤壁市,Y,豫
豫G,新乡市,Y,豫
豫H,焦作市,Y,豫
豫J,濮阳市,Y,豫
豫K,许昌市,Y,豫
豫L,漯河市,Y,豫
豫M,三门峡市,Y,豫
豫N,商丘行署,Y,豫
豫P,周口行署,Y,豫
豫Q,驻马店行署,Y,豫
豫R,南阳行署,Y,豫
豫S,信阳行署,Y,豫
粤A,广州市,Y,粤
粤B,深圳市,Y,粤
粤C,珠海市,Y,粤
粤D,汕头市,Y,粤
粤E,佛山市,Y,粤
粤F,韶关市,Y,粤
粤G,湛江市,Y,粤
粤H,肇庆市,Y,粤
粤J,江门市,Y,粤
粤K,茂名市,Y,粤
粤L,惠州市,Y,粤
粤M,梅州市,Y,粤
粤N,汕尾市,Y,粤
粤P,河源市,Y,粤
粤Q,阳江市,Y,粤
粤R,清远市,Y,粤
粤S,东莞市,Y,粤
粤T,中山市,Y,粤
粤U,潮州市,Y,粤
粤V,揭阳市,Y,粤
云A,昆明市,Y,云
云B,东川市,Y,云
云C,昭通行署,Y,云
云D,曲靖行署,Y,云
云E,楚雄彝族,Y,云
云F,玉溪行署,Y,云
云G,红河哈尼族,Y,云
云H,文山壮族苗,Y,云
云J,思茅行署,Y,云
云K,西双版纳,Y,云
云L,大理白族,Y,云
云M,保山行署,Y,云
云N,德宏傣族,Y,云
云P,丽江行署,Y,云
云Q,怒江傈族,Y,云
云R,迪庆藏族,Y,云
云S,临沧行署,Y,云
浙A,杭州市,Z,浙
浙B,宁波市,Z,浙
浙C,温州市,Z,浙
浙D,绍兴市,Z,浙
浙E,湖州市,Z,浙
浙F,嘉兴市,Z,浙
浙G,金华市,Z,浙
浙H,巨州市,Z,浙
浙J,台州行署,Z,浙
浙K,丽水行署,Z,浙
浙L,舟山市,Z,浙
